qCoarse:qFine	question	answer
LOC:country	De que nacionalidade eram os dois petroleiros que causaram a catástrofe ecológica junto a Trinidade e Tobago em 1979? 	liberiana 
LOC:other	Onde reside Arafat? 	Palácio Andalus 
NUM:date	Quando foi introduzido o alfabeto cirílico? 	863
NUM:count	Quantos desempregados há na Europa? 	35 milhões 
HUM:ind	Como se chama o presidente da Greenpeace Internacional? 	Thilo Bode 
LOC:city	Qual é a capital do Japão? 	Tóquio 
ENTY:plant	Que seres vivos são capazes de absorver dióxido de carbono? 	as plantas 
ENTY:substance	Por que é coberta a Antárctida? 	gelo 
ENTY:substance	Por que é causado o buraco do ozono? 	óxidos de azoto 
ENTY:substance	Que pode causar o cancro do pulmão? 	fumos dos escapes dos automóveis 
LOC:other	Sobre que área foi observado o fenómeno conhecido como "buraco do ozono"? 	Antárctida 
NUM:count	Quantos anos tem o Papa? 	75
NUM:count	Quantas religiões monoteístas há no mundo? 	três 
NUM:count	Quantos são os católicos no mundo? 	900 milhões 
NUM:count	Quantos judeus existem no mundo? 	menos de 15 milhões 
LOC:city	Em que cidade se encontra a Basílica de São Pedro? 	Roma 
NUM:count	Em quantos estados americanos existe a pena de morte? 	38
NUM:count	Quantas execuções houve nos Estados Unidos em 1993? 	38
NUM:date	Em que ano foi abolido o apartheid na África do Sul? 	1990
NUM:other	A quanto se eleva a população dos EUA? 	261.638.000 habitantes 
NUM:count	Quantos anos de prisão cumpriu Nelson Mandela? 	27
HUM:gr	Como se chama o partido separatista curdo? 	PKK 
NUM:count	Quantos detidos há no Corredor da Morte na Califórnia? 	383
ABBR:exp	O que é a UNICEF? 	Fundo das Nações Unidas para a Infância 
NUM:period	Em que idade termina a escolaridade obrigatória em Itália? 	14 anos 
NUM:date	Quando foi aprovada a Convenção dos Direitos da Criança? 	1989
HUM:ind	Nomeie uma pessoa acusada de pedofilia. 	Hans Hermann Groer 
NUM:period	Com que idade são convocados os jovens para a inspecção militar? 	no ano em que completam 18 anos 
NUM:count	Quantos analfabetos há no mundo? 	905 milhões 
HUM:ind	Quem é o ministro da Saúde francês? 	Philippe Douste-Blazy 
HUM:desc	Como está o Papa? 	mal 
HUM:gr	Que empresa foi acusada de usar trabalho infantil? 	Select 
HUM:ind	Que presidente americano não se apresentou ao serviço militar? 	Clinton 
HUM:ind	Quem descobriu a radioactividade 	Henri Becquerel 
LOC:other	Onde foi fundada a Greenpeace? 	Vancouver, no Canadá 
NUM:count	Há quantos anos funciona o Greenpeace? 	25
DESC:desc	Qual era o objectivo da primeira acção realizada pela Greenpeace? 	impedir as experiências nucleares americanas na ilha de Amchitka, nas Aleutas 
NUM:count	Quantas guerras estão a decorrer no mundo? 	70
NUM:count	Quantas minas anti-pessoais há no mundo? 	cerca de 100 milhões 
ENTY:dismed	Mencione um factor de risco para as doenças cardio-vasculares. 	hipertensão 
HUM:title	Que categoria profissional está mais em risco de cancro do pulmão? 	químicos 
ENTY:body	Que parte do organismo é atacada pelo vírus Ebola? 	pele 
NUM:date	Quando é que se registou pela primeira vez o vírus Ebola? 	1979
ENTY:dismed	Mencione um sintoma do vírus Ebola. 	fraqueza 
DESC:def	O que é o Comité Internacional da Cruz Vermelha? 	organização humanitária 
DESC:manner	Como é transmitido o vírus Ebola? 	por contacto 
ENTY:substance	Indique um pesticida. 	DDT 
NUM:date	Em que dia calha o Ano Novo chinês? 	10 de Fevereiro 
HUM:desc	Quem é Jean-Bertrand Aristide? 	o primeiro presidente do Haiti eleito democraticamente 
LOC:other	Onde ocorre o El Niño? 	no Pacífico 
NUM:date	Quando se demitiu Nixon? 	a 9 de Agosto de 1974 
HUM:gr	Quem impôs o embargo contra o Iraque? 	o Conselho de Segurança da ONU 
ENTY:animal	Mencione um cetáceo. 	baleia 
HUM:ind	De quem tiraram o nome os zapatistas? 	Emiliano Zapata 
NUM:count	Quantos genes humanos há? 	100.000 
HUM:desc	Quem são os amish? 	descendentes de anabaptistas suíços da Europa do século XVI 
HUM:ind	Quem é o imperador do Japão? 	Akihito 
NUM:perc	Quantas pessoas falam gaélico na Escócia? 	1,4% dos escoceses 
NUM:date	Quando obteve a Letónia a independência? 	1991
LOC:city	Onde é a mesquita de al-Aqsa? 	Jerusalém 
ENTY:animal	Que animal é capaz de emitir luz? 	pirilampo 
DESC:manner	Como se forma o ozono? 	através de reacções fotoquímicas atmosféricas na presença de calor e luz solar 
HUM:ind	Quem escreveu "Ulisses"? 	James Joyce 
LOC:other	Onde é o Vale dos Reis? 	em Tebas 
HUM:gr	Como se chama a companhia aérea oficial alemã? 	Lufthansa 
NUM:date	Quando é que o príncipe Carlos e Diana se casaram? 	1981
LOC:other	Onde se situa o CERN? 	Genebra 
NUM:money	Quanto custou o Túnel da Mancha? 	15 biliões de dólares 
LOC:other	Onde é o Centro Médico Cedars-Sinai? 	Los Angeles 
NUM:date	Em que ano ocorreu o furacão Andrew? 	1992
DESC:def	O que é a UEFA? 	o orgão regulador do futebol europeu 
ENTY:termeq	Cite uma unidade de radioactividade. 	curie 
LOC:country	Em que país europeu fica Galway? 	Irlanda 
NUM:date	Em que ano foram os Jogos Olímpicos de Barcelona? 	1992
ENTY:substance	De que são feitos os implantes mamários? 	gel de silicone 
HUM:ind	Quem realizou "Braveheart"? 	Mel Gibson 
HUM:desc	Quem é Yves Saint-Laurent? 	costureiro de alta-costura 
NUM:date	Em que ano ocorreu a secessão da Bósnia da Jugoslávia? 	no início de 1992 
ENTY:cremat	Diga o nome de um jornal francês. 	Le Monde 
NUM:period	Quando ocorreu o ataque bombista ao World Trade Center? 	há dois anos 
NUM:date	Quando é que John Lennon foi assassinado? 	1980
DESC:desc	O que fazem os antioxidantes? 	desactivam os radicais livres 
ENTY:dismed	De que morreu River Phoenix? 	overdose 
NUM:date	Em que ano foi visível o cometa Halley? 	1909
NUM:date	Em que dia calha o solstício de verão? 	21 de Junho 
ENTY:other	De que é extraído o ácido salicílico? 	casca de salgueiro 
LOC:other	Onde é a Torre Inclinada? 	Pisa 
NUM:other	Em que unidade é medida a velocidade de processamento de um chip? 	em megahertz 
HUM:desc	Quem é Paul Simon? 	político 
DESC:desc	O que são os carabinieri? 	o corpo de polícia paramilitar que patrulha as 5000 milhas da costa italiana 
LOC:other	Onde é o aeroporto de Heathrow? 	Londres 
HUM:ind	Quem é o protagonista de "Sinfonia de Amor"? 	Tom Hanks 
DESC:def	O que é a Yakuza? 	mafia japonesa 
DESC:manner	Como pode ser tratada uma alergia? 	com medicamentos de venda livre, tais como gotas para os olhos, anti-histamínicos e sprays nasais 
ENTY:color	De que cor é o monóxido de carbono? 	incolor 
HUM:ind	Quem é o Presidente da Câmara de Nova Iorque? 	Rudolfo Giuliani 
ABBR:exp	O que é a FDA? 	Food and Drug Administration 
DESC:manner	Como é que as plantas convertem a luz em alimento? 	pela fotossíntese 
LOC:other	Onde fica o Museu do Hermitage? 	em São Petersburgo 
NUM:count	Quantos cardeais elegem o Papa? 	120
HUM:ind	Qual é o primeiro nome de Armani? 	Giorgio 
DESC:desc	Como funciona o MRI? 	o MRI usa ímanes poderosos para explorar um fenómeno electromagnético. Átomos de hidrogénio alinham-se em padrões identificáveis num campo magnético e, quando sujeitos a ondas de rádio, devolvem um sinal que pode ser detectado, identificado, e usado na construção de uma imagem nítida do interior do corpo 
LOC:country	Qual é a nacionalidade de Aristóteles Onassis? 	grego 
LOC:other	A que galáxia pertence a Terra? 	Via Láctea 
NUM:date	Em que ano foi construída a Estátua da Liberdade? 	1886
ENTY:substance	De que são feitos os cabos de fibra óptica? 	finas camadas de vidro 
HUM:ind	Quem pintou a "Guernica"? 	Picasso 
NUM:count	Qual a população da Chechénia? 	1,2 milhões de habitantes 
HUM:gr	Que forma de governo tem a França? 	república 
NUM:count	Quantos continentes há? 	cinco 
HUM:ind	Qual o nome da mulher de Kurt Cobain? 	Courtney Love 
ENTY:cremat	Indique um jogo de tabuleiro. 	Scrabble 
NUM:date	Em que ano teve lugar a guerra do Yom Kippur? 	1973
NUM:count	Quantas pessoas morrem devido a minas anti-pessoal anualmente? 	10
LOC:other	Qual o vulcão activo mais alto da Europa? 	o Etna 
LOC:other	Que rio banha Dublin? 	Liffey 
NUM:perc	Quantos bávaros são católicos? 	cerca de 90% 
DESC:desc	O que é a Amnistia Internacional? 	grupo preocupado com os direitos humanos 
HUM:desc	Quem é Silvio Berlusconi? 	um magnata dos média conservador 
DESC:def	O que significa "Forza Italia"? 	Força, Itália! 
ENTY:other	O que embrulhou o artista Christo? 	uma ponte parisiense 
ENTY:other	O que faz um luthier? 	guitarras 
DESC:reason	Cite uma razão para suicídios de adolescentes. 	resultados fracos nos exames 
NUM:date	Quando foi lançada a sonda espacial Ulisses? 	1990
DESC:desc	Quem são os Simpsons? 	uma família cujos membros se amam uns aos outros e que dão uns com os outros em loucos 
DESC:def	O que é a maçonaria? 	uma sociedade secreta 
DESC:desc	De que é acusado Aldrich H. Ames? 	espiar para os russos 
LOC:other	Onde fica a Praça Vermelha? 	Moscovo 
HUM:gr	Que banda contribuiu para a banda sonora do filme "O Ponto de Zabriskie"? 	Pink Floyd 
HUM:ind	Que celebridade foi fotografada por Man Ray? 	James Joyce 
NUM:date	Em que ano se tornou o Papa João Paulo II o Sumo Pontífice? 	1978
HUM:gr	Quem libertou a cidade de Saint-Mère-Église no Dia D? 	paraquedistas americanos 
HUM:desc	Quem é Alan Turing? 	o cientista britânico que os autores redescobrem como o rei não coroado da Inteligência Artificial moderna 
NUM:period	Qual a idade de Beck Hansen? 	23
HUM:desc	Quem é Arlequim? 	Uma personagem da "commedia dell'arte" italiana 
ENTY:event	Em que guerra combateram as Brigadas Internacionais? 	Guerra Civil de Espanha 
HUM:ind	Quem foi o último czar da Rússia? 	Nicolau II 
ENTY:other	Mencione o nome de um robot. 	Robodoc 
DESC:manner	Como se pode poupar energia? 	verificando se se está na tarifa energética correcta 
ENTY:animal	Que animal arrulha? 	pombo 
NUM:perc	Quantos pandas há em estado selvagem na China? 	menos de 1000 
HUM:ind	Quem representa o papel de prostituta em "Taxi Driver"? 	Jodie Foster 
DESC:desc	Como funciona a acupunctura? 	estimulando e balançando o chi, uma força vital que se concentra em certas partes do corpo 
DESC:desc	Para que é usado o anidrido acético? 	para transformar ópio em heroína 
HUM:ind	Quem criou a expressão "encontros imediatos do terceiro grau" 	Dr J Allen Hynek 
LOC:country	De que país é originário o tango? 	Argentina 
LOC:country	Qual a nacionalidade do Mitubishi Bank? 	japonesa 
ABBR:abb	Qual o acrónimo da Amnistia Internacional? 	AI 
LOC:country	Em que país se professa o budismo? 	Tailândia 
LOC:country	Que país exporta arroz? 	Estados Unidos 
LOC:country	Qual é o país que é o maior produtor de diamantes? 	África do Sul 
HUM:title	Que cargo detinha Silvio Berlusconi 	primeiro-ministro italiano 
ENTY:other	Que afectou o "efeito tequilha"? 	as economias da América Latina 
DESC:reason	A que se deveu o "efeito tequilha"? 	à crise financeira mexicana 
LOC:country	Que país regressou à UNESCO após 38 anos de ausência? 	África do Sul 
ENTY:other	Que prémio partilharam Yasser Arafat, Shimon Peres e Yitzhak Rabin? 	o Prémio Nobel da Paz de 1994 
NUM:perc	Que percentagem do comércio mundial de diamantes se concentrou em Antuérpia em 1994? 	56 por cento 
NUM:count	Quantas pessoas morreram nas inundações na Holanda e na Alemanha em 1995? 	cerca de trinta 
NUM:count	Quantos budistas há em Espanha? 	entre 5.000 e 6.000 
NUM:dist	Qual a distância que é percorrida no rali Granada-Dacar? 	10.000 quilómetros 
NUM:volsize	Qual a área da Selva Lacandona? 	1.836.611 hectares 
NUM:period	Quanto tempo demorou Christo a embrulhar o Reichstag alemão em Berlim? 	oito dias 
NUM:count	Quantos desaparecidos provocou o furacão "Angela" nas Filipinas? 	190
NUM:count	Quantos astronautas levava a bordo o vaivém Atlantis? 	cinco 
NUM:count	Quantos mortos por asfixia houve no metro de Baku? 	300
NUM:dist	Quantos quilómetros da fronteira mútua foram disputados pela Argentina e pelo Chile? 	530
ENTY:termeq	Como se chama o interior de um barco? 	bojo 
ENTY:other	Que petroleiro teve um acidente depois do petroleiro "Mar Egeu"? 	o Annie-1 
ENTY:substance	Que líquido é inodoro e insípido? 	a água 
ENTY:cremat	Que contem o "Chester Beatty"? 	os Evangelhos e os Actos dos Apóstolos 
LOC:other	Onde fica o Reichstag? 	Berlim 
ENTY:event	Que tufão nas Filipinas causou mais de 1.000 mortos ou desaparecidos? 	o "Angela" 
ENTY:substance	Que inalou Joseph Bryan Thomson que lhe provocou a morte? 	vapores do aerossol de um ambientador 
ENTY:other	O que é que o Barão Marcel Bich inventou? 	a esferográfica Bic 
ENTY:other	Que complexo desportivo foi inaugurado em Buenos Aires em Dezembro de 1993? 	o estádio "Novo Gasómetro" 
ENTY:other	Que vaivém americano levou pela primeira vez um astronauta russo a bordo? 	o Discovery
LOC:country	Em que país fica Essen? 	na Alemanha 
LOC:other	Onde se entregam os Óscares? 	no Shrine Auditorium de Los Angeles 
LOC:other	Onde se celebraram os JO de 1992? 	em Barcelona 
LOC:other	Sobre que continente está o buraco do ozono? 	o continente americano 
ENTY:dismed	A que altitude está a camada de ozono? 	entre 10 e 50 quilómetros acima da superfície 
LOC:other	Onde fica o arquipélago de Svalbard? 	na Noruega 
LOC:other	Onde fica o Rio de Janeiro? 	no Brasil 
LOC:other	Onde se realizou a Conferência Mundial da Mulher? 	em Pequim 
LOC:other	Onde fica Tarbes? 	em França 
LOC:city	Em que cidade explodiu uma carta-bomba? 	em Madrid 
HUM:ind	Que realizador de cinema italiano foi premiado com um Óscar? 	Michelangelo Antonioni 
HUM:ind	Quem é o director-geral do Fundo Monetário Internacional? 	Michel Camdessus 
HUM:ind	Quem realizou o filme espanhol "Os piores anos da nossa vida"? 	Emilio Martínez Lázaro 
HUM:ind	Quem foi o chefe do 12º governo de Israel? 	Shimon Peres 
HUM:ind	Quem escreveu "A bicicleta de Leonardo"? 	Paco Ignacio Taibo II 
HUM:ind	Quem recebeu o Prémio Príncipe das Astúrias de Investigação Cientifica e Tecnológica pelo desenvolvimento da primeira vacina sintética contra a malária? 	Manuel Elkin Patarroyo 
HUM:ind	Quem decidiu criar a bolsa "Luis Donaldo Colosio"? 	Diana Laura Riojas 
HUM:ind	Quem encerrou a 6ª Conferência Mediterrânica da Cruz Vermelha e do Crescente Vermelho? 	a rainha Sofia 
HUM:ind	Quem presidiu à reabertura do Museu Sefardita de Toledo? 	o rei João Carlos 
HUM:ind	Quem venceu o IV Torneio Internacional de Xadrez "Cidade de Pamplona"? 	Jordi Magem 
NUM:date	Quando assumiu o cargo o primeiro presidente de Cuba? 	a 20 de Maio de 1902 
NUM:date	Em que ano é que o Iraque invadiu o Kuwait? 	1990
NUM:date	Em que dia foi executado José Rizal? 	a 30 de Dezembro de 1896 
NUM:date	Em que dia se celebra a descoberta da América? 	a 12 de Outubro 
NUM:date	Que dia corresponde ao início do século XXI? 	1 de Janeiro de 2001 
NUM:date	Quando foi a Guerra do Chaco? 	em 1932 
NUM:date	Em que dia de Junho de 1995 é que explodiu uma carta armadilhada? 	9
NUM:date	Quando é que os manchu invadiram a China? 	em 1644 
NUM:date	Quando entrou em vigor o tratado da NAFTA? 	a 1 de Janeiro de 1994 
NUM:date	Quando é que se fixou na Colômbia José Celestino Mutis? 	no final do século XVIII 
HUM:gr	Refira uma companhia petrolífera. 	Texaco 
HUM:gr	Indique uma companhia de fast-food. 	A Huevo 
HUM:gr	De que canal é apresentadora Arabella Kiesbauer? 	Pro 7 
HUM:gr	Com que organização palestiniana anunciou o Vaticano o estabelecimento de relações oficiais? 	Organização de Libertação da Palestina (OLP) 
HUM:gr	Que exército ocupou o Haiti? 	o dos EUA 
HUM:gr	Que instituição fundou Andrés Townsend Ezcurra 	o "Movimiento de Bases Hayistas" 
HUM:gr	Que partido venceu as primeira eleições multiraciais na África do Sul? 	o Congresso Nacional Africano (ANC) 
HUM:gr	Que comissão internacional condenou pela primeira vez formalmente o anti-semitismo e a xenofobia? 	a Comissão dos Direitos Humanos da ONU 
HUM:gr	Que igreja aprovou novas regras para a ordenação de mulheres? 	a Igreja Anglicana 
HUM:gr	Que instituição constituiram o Brasil, Portugal, Angola, Moçambique, São Tomé e Príncipe, a Guiné-Bissau e Cabo Verde em Brasília? 	a Comunidade dos Países de Língua Portuguesa 
ABBR:exp	O que é a NAFTA? 	Tratado de Comércio Livre da América do Norte 
ABBR:exp	O que é o Mercosur? 	o Mercado Comum do Sul 
HUM:desc	Quem foi Rosa Chacel? 	escritora de Valhadolid 
HUM:desc	Quem é Arabella Kiesbauer? 	apresentadora da televisão privada alemã "Pro 7" 
HUM:desc	Quem é Christo? 	artista de origem húngara 
HUM:desc	Quem é Bill Clinton? 	o presidente dos Estados Unidos 
HUM:desc	Quem é Leo Reting? 	Engenheiro alemão 
ABBR:exp	O que é o IFOP? 	Instituto Financeiro para a Orientação da Pesca 
HUM:desc	Quem é João Paulo II? 	o Papa 
DESC:def	O que é o Parlamento Europeu? 	a assembleia comunitária 
HUM:ind	Quem era presidente dos Estados Unidos em 1994? 	Bill Clinton 
LOC:country	Em que país foi prorrogada a operação das Nações Unidas até 31 de Março de 1995? 	na Somália 
HUM:ind	Quem era o presidente da Coreia do Norte antes de 1994? 	Kim Il Sung 
HUM:ind	Quem era o presidente da Coreia do Norte depois de 1994? 	Kim Jong Il 
HUM:gr	Que empresas energéticas se fundiram durante 1995? 	Maxus e Yacimientos Petrolíferos Fiscales 
NUM:date	Em que ano se celebrou a Conferência Internacional da Mulher antes de 1995? 	em 1980 
HUM:ind	Quem ganhou o Prémio Nobel da Literatura em 1994? 	Kenzaburo Oe 
HUM:gr	Que equipa venceu a liga de futebol espanhola na época 1994-1995? 	o Real Madrid 
LOC:country	Que país europeu comprou dois aviões CASA C-212-300 Aviocar em 1994? 	Portugal 
NUM:money	Que valor se programou no âmbito do IFOP no período 1994-1995 para a renovação da frota espanhola? 	cerca de 1,1 biliões de ecus 
DESC:manner	Qual a melhor maneira de combater as alergias? 	administrar, em quantidades mínimas, as substâncias que causariam ao paciente reacções alérgicas 
DESC:manner	Como se determina a proporção de deutério característica de cada vinho? 	com a ressonância magnética nuclear isotópica (RMN) 
DESC:manner	Como se garante a cobrança de sanções? 	pelo sistema de notificação de multas através de edictos 
DESC:manner	Como se pretende levar a cabo o planeamento familiar no Peru? 	Mediante vasectomia e laqueação das trompas 
DESC:manner	Como começa o cancro, de acordo com o Método Hamer? 	através de um conflito emocional 
DESC:manner	Como que é que se faz a angiografia com indocianina? 	injectando intravenosamente uma substância que tinge os vasos sanguíneos de forma a ver a circulação do sangue no interior do olho 
DESC:manner	Como se fara desaparecer o "Japan Premium"? 	cancelando as dívidas por crédito malparado que os bancos japoneses acumularam 
DESC:manner	Como se eliminam as reacções de rejeição do sistema imunológico? 	utilizando métodos de engenharia genética 
DESC:manner	Como se aplica o método Hamer? 	excluindo qualquer medicamento ou terapia tradicional, inculcando no paciente da ideia que pode vencer a doença com a sua vontade após identificar a dor e associar-lhe uma cor 
DESC:manner	Como actua a hormona do crescimento? 	envolve efeitos anabolizantes; aumenta a massa do corpo não-gorda e reduz o tecido adiposo 
HUM:desc	Quem é Alain Juppé? 	primeiro-ministro de França 
HUM:desc	Quem é Shoko Asahara? 	líder da seita japonesa da Verdade Suprema 
HUM:desc	Quem é Franz Schönhuber? 	líder do Partido Republicano de extrema-direita 
LOC:other	Onde fica Indiana? 	nos Estados Unidos 
HUM:desc	Quem é Bruce Morrison? 	presidente do movimento "Americanos para uma nova agenda irlandesa" 
ABBR:exp	O que são as FARC? 	Forças Armadas Revolucionárias da Colômbia 
LOC:other	Onde é Caltanissetta? 	na Sicília 
ABBR:abb	Qual a abreviatura do Exército Popular de Libertação do Sudão? 	SPLA 
LOC:city	Qual é a capital da Venezuela? 	Caracas 
ABBR:exp	O que é o ACNUR? 	Alto-Comissariado das Nações Unidas para os Refugiados 
HUM:ind	Quem é o ministro-presidente bávaro? 	Edmund Stoiber 
NUM:date	Em que ano é que o "War Powers Act" foi aprovado pelo Congresso americano? 	1973
LOC:country	Esmirna fica em que país? 	Turquia 
HUM:ind	Quem é o ministro da Economia alemão? 	G. Rexrodt 
HUM:gr	De que companhia é Christian Blanc presidente? 	Air France 
LOC:city	Refira uma cidade finlandesa. 	Tampere 
LOC:other	Qual a localização de Tipaza? 	60 quilómetros a oeste de Argel 
NUM:count	Quantos habitantes tem Bombaim? 	mais de 12 milhões 
HUM:ind	Quem é o director da AIEA? 	Hans Blix 
ABBR:exp	O que é a AIEA? 	Agência Internacional de Energia Atómica 
LOC:other	Onde é a sede da AIEA? 	em Viena 
NUM:count	Quantas pessoas vivem no Brasil? 	148 milhões 
LOC:city	Em que cidade italiana fica a Fonte de Trevi? 	Roma 
HUM:ind	Quem é o fundador da Motown? 	Berry Gordy 
HUM:ind	Qual o primeiro nome do líder turco Atatürk? 	Kemal 
LOC:city	Em que cidade fica o Museu Van Gogh? 	Amesterdão 
HUM:ind	Como se chama a filha do líder chinês Deng Xiaoping? 	Deng Rong 
ENTY:other	Diga o nome de um vulcão japonês. 	Hosho 
DESC:def	O que é a GM? 	fabricante de automóveis americano 
DESC:def	O que é o FSK? 	o serviço de contra-espionagem russo 
LOC:country	Em que país fica Vukovar? 	Croácia 
LOC:city	Em que cidade americana se encontra o Museu Warhol? 	Pittsburgh 
HUM:desc	Quem é Andy Warhol? 	artista 
HUM:desc	Quem é Keith Richards? 	guitarrista dos Rolling Stones 
HUM:ind	Quem descobriu o vírus da sida? 	Luc Montagnier 
DESC:desc	O que é a Yves Saint-Laurent? 	casa de alta-costura 
HUM:ind	Quem é a ministra do Ambiente alemã? 	Angela Merkel 
HUM:ind	Mencione um bonecreiro. 	Jim Henson 
HUM:ind	Quem é o presidente da UEFA? 	Lennart Johansson 
HUM:ind	Quem é o líder dos republicanos no Senado dos Estados Unidos? 	Bob Dole 
HUM:ind	Quem foi o fundador da cadeia noticiosa CNN? 	Ted Turner 
LOC:country	Em que país fica East London? 	África do Sul 
DESC:def	O que é a MTV? 	canal televisivo de música 
NUM:date	Quando é que houve um golpe de estado em Chipre? 	Julho de 1974 
NUM:date	Quando nasceu Alberto Giacometti? 	1901
HUM:ind	Como se chama o líder dos cipriotas turcos? 	Rauf Denktash 
HUM:ind	Como se chama o filho do escritor e Prémio Nobel Thomas Mann? 	Golo Mann 
HUM:ind	Quem é o presidente do Iémene do Sul? 	Ali Salem 
HUM:ind	Quem é o líder do KwaZulu? 	Mangosutho Buthelezi 
HUM:gr	De que clube de futebol francês foi Bernard Tapie presidente? 	Olympique de Marselha 
HUM:desc	Quem é Andrew Morton? 	o autor de "Diana: a sua nova vida" 
NUM:count	Quantos habitantes conta a África do Sul? 	40 milhões 
DESC:def	O que é a NASA? 	agência espacial americana 
HUM:ind	Quem planeou o Palácio dos Desportos São Jorge em Barcelona? 	o arquitecto japonês Arata Isozaki 
HUM:ind	Como se chama a rainha da Dinamarca? 	Margarida 
HUM:ind	Como se chama a mulher do presidente peruano Alberto Fujimori? 	Susana Higuchi 
LOC:country	Em que país fica Silver Star? 	Canadá 
HUM:ind	Como se chama o primeiro-ministro do Ruanda? 	Agathe Uwilingiyimana 
HUM:ind	Quem é o rei da Bulgária? 	Boris III 
HUM:gr	Em que equipa de básquete joga Shaquille O'Neill? 	Orlando Magic 
HUM:ind	Que líder do ANC se tornou presidente da África do Sul? 	Nelson Mandela 
HUM:ind	Quem é o presidente da Câmara dos Representantes americana? 	Newt Gingrich 
LOC:other	Indique uma província de Espanha. 	Andaluzia 
NUM:date	Em que ano foi assassinado o presidente chileno Salvador Allende? 	1973
HUM:desc	Quem é Marvin Minsky? 	cientista na área da inteligência artificial 
NUM:date	Em que ano nasceu Nelson Mandela? 	1918
